¢#0,©#0,§#174000
¢#0,©#457320,§#300
¢#0,©#63000,§#420
¢#0,©#2220,§#120,©#1680,§#6720
¢#0,©#2700,§#64560
¢#0,©#3300,§#1140
¤#0,¢#0,©#1459440,§#104940
¢#0,©#3196620,§#0
¢#0,©#60,§#66600
¢#0,©#0,§#300
¢#0,©#7080,©#540,§#62640
¢#0,©#1678020,§#594840
¢#0,©#180960,§#60
¢#0,©#1097460,§#7980
¢#0,©#0,ª#3720,§#3028440
¢#0,©#3633420,§#13200
¢#0,©#13620,§#7320
¢#0,©#180,ª#4080,©#8460,§#0
¢#0,©#0,§#1537320
¢#0,©#0,§#8520
¢#0,©#1467120,§#258120
¢#0,©#18480,§#70320
¢#0,§#5460
¢#0,©#96720,§#412440
¢#0,©#0,§#14820,§#1720980,©#60,ª#7380,©#151800,§#0
¢#0,©#60,§#1200
¢#0,©#0,§#1980
¢#0,©#0,§#60
¢#0,©#1680,§#2880
¢#0,©#1860,§#5160
¢#0,©#600,§#60
¢#0,©#423480,§#3192840
¢#0,©#0,§#450960
¤#0,¢#87900,©#0,§#60
¢#0,©#840,ª#345600,§#265080
¢#0,©#360,§#20280,§#0
¢#0,©#61920,ª#86940,§#1477500
¢#0,©#0,§#70080
¢#0,©#83340,ª#1131000,ª#0,©#81000,§#504360
¢#0,©#433680,ª#581100,§#1208220
¢#0,§#60
¢#0,©#368220,§#2580
¢#0,©#0,§#11040,§#0
¢#0,©#60,ª#86700,©#493680,§#0
¢#0,©#840,§#27960
¢#0,§#120
¢#0,¢#0,ª#67620,©#1036140,ª#0,©#774720,§#0
¢#0,©#60,§#15480
¢#0,©#1013820,§#183900
¢#0,©#0,§#73320
¢#0,©#60,ª#2682540,§#339360
¢#0,©#0,§#5340
¢#0,©#0,§#1722780
¢#0,§#60
§#0
¢#0,¢#3684540,©#0,§#60
¢#0,§#3420
¢#0,©#240,§#2358660
¢#0,©#96600,§#597660
¢#0,©#240,ª#0,ª#60,©#863700,§#60
¢#0,©#60,§#0
¢#0,©#120,§#665940
¢#0,©#227700,ª#9180,§#258120
¢#0,©#267780,ª#60,§#664260,©#274800,ª#540,§#776520
¢#0,¢#20760,ª#60,©#853440,§#60
¢#0,©#90180,§#2820
¢#0,©#60,§#2640
¢#0,©#0,§#775080
¢#0,©#441420,§#279300
¢#0,©#60,§#0
¢#0,©#271620,§#69300
¢#0,©#58860,§#84780,§#0
¢#0,©#240,§#349260
¢#0,©#60,§#425760
¤#0,¢#1860,©#926220,§#3480
¢#0,©#0,§#82980
¢#0,¢#1140,©#26820,ª#69660,©#74460,£#0,§#612300
¢#0,©#3480,§#120
¢#0,©#1029180,§#168660
¢#0,©#236160,ª#84000,©#3549720,§#0
¢#0,©#420,§#22320
¢#0,©#4560,§#60540,©#22440,ª#67260,©#104820,§#60
¢#0,©#108780,§#607260
¤#0,¢#1535520,©#98700,§#1380
¢#0,©#0,§#300
¢#0,©#78600,§#21300
¢#0,©#0,§#7920
¢#0,©#2160,§#671040
¢#0,©#1197960,ª#5880,§#5580
¢#0,©#3180,§#0
¢#0,©#71640,§#2100
¢#0,©#0,ª#19320,©#521400,§#0
¢#0,©#54960,§#0
¢#0,©#60,ª#1080,©#2153280,§#2040
¢#0,¢#2843640,§#3000
¢#0,©#60,§#480
¢#0,§#5760,§#0
¤#0,¢#180,©#0,§#0
¢#0,©#2400,ª#3720,§#336660
¢#0,¢#2100,©#60,§#181740
¢#0,©#180,§#0
¢#0,©#60,ª#160140,©#358440,§#60,©#1460640,§#15540
¢#0,©#77460,§#68040
¢#0,©#509400,ª#97920,§#600180
¢#0,©#0,§#1260
¢#0,©#5460,§#660
¢#0,©#0,ª#660,©#1020,ª#1620,©#1201860,§#60
¢#0,©#96780,§#89700
¢#0,©#840,§#0
¢#0,©#17700,§#0,§#0
¢#0,©#2460,§#480
¤#0,¢#0,©#120,ª#455940,©#232500,§#60
¢#0,©#480,§#0
¢#0,©#510720,§#79920
¢#0,©#12300,§#60
¢#0,©#239160,ª#535260,©#2231340,§#0
¢#0,©#635340,§#499020
¢#0,©#56880,§#480
¢#0,©#2040,§#538440
¢#0,©#9060,§#120
¢#0,©#184620,§#75060
¢#0,¢#250920,§#60
¢#0,©#1048740,§#0
¢#0,©#120,§#4620
¢#0,§#0
¢#0,©#1066080,§#0
¢#0,©#156540,ª#13740,§#242640,§#0
¢#0,©#4740,§#60
¢#0,©#57420,ª#600,©#1208700,ª#60,§#84660
¢#0,¢#70620,©#1020,§#77280
¢#0,©#424860,§#504300
¢#0,¢#0,©#99780,§#180
¢#0,©#887160,ª#88560,§#424560
¢#0,©#780,§#60
¢#0,©#0,§#95220
¢#0,©#540,§#4860
¢#0,©#0,§#586020
¢#0,©#71940,§#12480
¢#0,©#13440,§#1440
¢#0,§#98580
¢#0,©#354240,§#240
¤#0,¢#60300,©#343320,§#180
¢#0,©#87420,ª#0,©#1280760,§#0
¢#0,©#18300,ª#1380,§#407820
¢#0,©#173580,§#120
¢#0,©#60,§#68640
¢#0,¢#900,©#87780,§#0
¢#0,©#4080,§#855720
¢#0,©#169200,§#2077380
¢#0,©#167520,ª#348240,©#161820,ª#3480,©#15900,§#0
¢#0,©#96360,§#60
¢#0,©#257880,§#6600,§#0
¢#0,©#0,§#957420
©#0,§#67320
¢#0,©#86880,§#253980
¢#0,©#7680,§#1020
¢#0,©#7440,§#416520
¢#0,©#0,§#166260
¢#0,©#173340,ª#961500,©#83520,§#3300
¢#0,©#180,ª#3780,©#605760,§#0
¢#0,©#173640,§#1532880
¢#0,©#7680,§#7620
¢#0,©#60,§#60
¢#0,§#96840
¢#0,©#0,§#2940
¢#0,§#682560
¢#0,¢#2460,©#0,§#84420
¢#0,©#1063020,§#0
¢#0,¢#0,©#0,§#0
¢#0,©#60,§#366300
¢#0,©#60,§#840,©#228660,ª#282780,©#681240,§#720
©#0,ª#2520,©#338040,§#60,§#0
¢#0,©#268680,ª#590760,§#13080
¢#0,©#188700,§#246900
¢#0,§#60
¢#0,©#79320,§#14340,§#0
¢#0,©#60,ª#1200,§#62700
¢#0,§#83820
¢#0,©#0,§#152340
¢#0,©#0,§#271620
¢#0,©#61080,§#60
¢#0,§#5820
¢#0,¢#93300,©#60,§#58920
¢#0,¢#418500,©#770280,§#0
¢#0,©#1405500,§#238500
¢#0,©#320940,§#60
¢#0,©#8640,§#1700640
¢#0,©#519840,§#679740
¢#0,©#54300,§#264540
¢#0,©#1745880,§#240
¢#0,©#180,§#0
¢#0,©#1140,§#60
¢#0,©#68040,§#355260
¢#0,¢#520560,©#0,§#0
¤#0,©#180,§#960
¢#0,§#68820,§#0
¢#0,©#60,§#613080
¢#0,©#60,§#495360
¢#0,©#579240,§#263160
¢#0,©#0,§#87960,©#339420,§#3009720
¢#0,©#620040,§#60
¢#0,©#18900,§#1680
¢#0,©#1361880,§#60
¢#0,©#1044480,§#0
¢#0,©#3300,ª#0,©#368940,§#0
¢#0,¢#88140,©#0,§#3707820
¢#0,¢#840,©#74880,§#2349000
¢#0,©#0,§#8340
¢#0,©#62700,§#78300
¢#0,©#153480,§#1020
¢#0,§#159720,§#0
¢#0,©#60,§#12720
¤#0,¢#60,©#360,§#5040
©#0,§#1902900
¢#0,©#60,ª#3180,ª#3480,©#257100,§#175380
¤#0,¢#60,¢#60,©#420,§#18480
¢#0,©#2460,ª#614940,§#2353980
¢#0,©#960,§#5880
¢#0,©#510600,§#13320
¢#0,©#1732680,§#300
¤#0,¢#0,©#60,§#840
¢#0,©#60,§#103620
¢#0,ª#96180,©#1876080,ª#60,©#454620,§#76980
¢#0,§#0
¢#0,©#60,ª#6780,©#347340,§#0,©#66780,§#99300
¢#0,¢#0,©#340620,§#2280
¢#0,©#520980,§#1208580
¢#0,©#0,§#600
¢#0,©#76740,§#23640
¢#0,©#60,§#10800
¢#0,©#60,§#15840
¢#0,©#1980,§#3300
¢#0,ª#80100,§#1231860,§#0
¢#0,¢#0,©#60,§#622860
¢#0,©#120,§#60
¢#0,©#1209960,§#328200
¢#0,©#420,§#1320
¢#0,©#600,§#12960,§#0
¢#0,©#7800,§#960
¢#0,©#59400,§#0
¢#0,©#0,§#406620
¢#0,©#6960,§#1560,©#4140,ª#5400,©#72660,§#0
