CaseID,Prefix length,Ground truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,1.0,1.0,1.0,256500,37110.48676142384,,219389.51323857615
3088,2,©,©,1.0,1.0,1.0,0,18677.92753557701,,18677.92753557701
3089,2,ª,§,0.0,0.0,0.0,355740,38821.791727626354,,316918.20827237365
3090,2,§,§,1.0,1.0,1.0,1800,22843.371317656936,,21043.371317656936
3091,2,§,§,1.0,1.0,1.0,511740,17956.00645418925,,493783.99354581075
3092,2,§,§,1.0,1.0,1.0,8280,17459.164777260023,,9179.164777260023
3093,2,§,§,1.0,1.0,1.0,63720,23540.80302566127,,40179.19697433873
3094,2,§,§,1.0,1.0,1.0,1200720,17945.80464387064,,1182774.1953561294
3095,2,§,§,1.0,1.0,1.0,360,18714.994741645307,,18354.994741645307
3096,2,§,§,1.0,1.0,1.0,2073600,35082.98853307898,,2038517.011466921
3098,2,§,§,1.0,1.0,1.0,1860,17459.164777260023,,15599.164777260023
3099,2,ª,§,0.0,0.0,0.0,60,36513.66200046479,,36453.66200046479
3100,2,ª,§,0.0,0.0,0.0,6960,18211.933291881658,,11251.933291881658
3101,2,§,§,1.0,1.0,1.0,3060,26003.490493438436,,22943.490493438436
3102,2,ª,§,0.0,0.0,0.0,3360,31079.287130674533,,27719.287130674533
3104,2,§,§,1.0,1.0,1.0,603300,17456.23560682966,,585843.7643931704
3105,2,ª,§,0.0,0.0,0.0,182520,17456.23560682966,,165063.76439317034
3106,2,§,§,1.0,1.0,1.0,1468080,17456.23560682966,,1450623.7643931704
3107,2,§,§,1.0,1.0,1.0,101520,17456.23560682966,,84063.76439317034
3109,2,§,§,1.0,1.0,1.0,9480,21718.11729671038,,12238.117296710381
3110,2,ª,§,0.0,0.0,0.0,497880,17798.205254470493,,480081.79474552954
3111,2,§,§,1.0,1.0,1.0,422940,17456.23560682966,,405483.76439317036
3114,2,©,§,0.0,0.0,0.0,432060,18879.04242873567,,413180.95757126436
3115,2,ª,§,0.0,0.0,0.0,1492080,21351.166413913215,,1470728.8335860868
3116,2,§,§,1.0,1.0,1.0,0,17462.08137614347,,17462.08137614347
3117,2,§,§,1.0,1.0,1.0,240,23879.58264327333,,23639.58264327333
3119,2,¢,©,0.0,0.0,0.0,0,23848.40049260294,,23848.40049260294
3120,2,§,§,1.0,1.0,1.0,0,18288.274010501198,,18288.274010501198
3122,2,ª,§,0.0,0.0,0.0,491880,32308.922705626526,,459571.0772943735
3123,2,§,§,1.0,1.0,1.0,19860,35235.7202565057,,15375.720256505701
3124,2,§,§,1.0,1.0,1.0,6360,17459.164777260023,,11099.164777260023
3125,2,§,§,1.0,1.0,1.0,191700,30683.487690602404,,161016.5123093976
3127,2,§,§,1.0,1.0,1.0,1443960,17456.23560682966,,1426503.7643931704
3129,2,§,§,1.0,1.0,1.0,1821480,21961.12844139468,,1799518.8715586052
3130,2,©,©,1.0,1.0,1.0,283500,23889.578594511266,,259610.42140548874
3131,2,ª,§,0.0,0.0,0.0,65700,17459.164777260023,,48240.835222739974
3132,2,§,§,1.0,1.0,1.0,60,17456.23560682966,,17396.23560682966
3133,2,§,§,1.0,1.0,1.0,250320,22007.9480249795,,228312.0519750205
3134,2,§,§,1.0,1.0,1.0,256140,23513.5667692777,,232626.4332307223
3135,2,£,§,0.0,0.0,0.0,1910220,17456.23560682966,,1892763.7643931704
3136,2,§,§,1.0,1.0,1.0,326280,17459.164777260023,,308820.83522273996
3137,2,¢,©,0.0,0.0,0.0,0,1188.144755814249,,1188.144755814249
3138,2,ª,§,0.0,0.0,0.0,237420,38340.936344038346,,199079.06365596165
3140,2,§,§,1.0,1.0,1.0,120,17479.65482728226,,17359.65482728226
3141,2,§,§,1.0,1.0,1.0,1023120,36727.101723926724,,986392.8982760733
3143,2,ª,§,0.0,0.0,0.0,172800,38607.37142350533,,134192.62857649467
3144,2,§,§,1.0,1.0,1.0,720,17566.26964261515,,16846.26964261515
3146,2,§,§,1.0,1.0,1.0,200700,17462.08137614347,,183237.91862385653
3147,2,§,§,1.0,1.0,1.0,1672500,39868.81929791665,,1632631.1807020833
3149,2,§,§,1.0,1.0,1.0,0,17515.153732873354,,17515.153732873354
3150,2,©,©,1.0,1.0,1.0,171360,10761.82951882066,,160598.17048117935
3151,2,§,§,1.0,1.0,1.0,600,562.6395820201878,,37.360417979812155
3152,2,ª,§,0.0,0.0,0.0,120,17464.985403480005,,17344.985403480005
3153,2,ª,§,0.0,0.0,0.0,1800,17512.188419245624,,15712.188419245624
3154,2,§,§,1.0,1.0,1.0,278220,39920.89693099717,,238299.10306900283
3155,2,§,§,1.0,1.0,1.0,16140,17459.164777260023,,1319.1647772600227
3156,2,©,§,0.0,0.0,0.0,258660,483721.5957114316,,225061.59571143158
3157,2,ª,§,0.0,0.0,0.0,335880,17456.23560682966,,318423.76439317036
3158,2,§,§,1.0,1.0,1.0,94020,17578.44047146876,,76441.55952853124
3159,2,©,§,0.0,0.0,0.0,0,10983.868180369995,,10983.868180369995
3160,2,§,§,1.0,1.0,1.0,100140,17456.23560682966,,82683.76439317034
3161,2,§,§,1.0,1.0,1.0,241860,17905.306976938893,,223954.69302306112
3163,2,§,§,1.0,1.0,1.0,1200,17500.294164424067,,16300.294164424067
3164,2,§,§,1.0,1.0,1.0,346620,18055.538533973617,,328564.4614660264
3166,2,§,§,1.0,1.0,1.0,3660,17770.09998990667,,14110.09998990667
3167,2,§,§,1.0,1.0,1.0,60,17470.832744237174,,17410.832744237174
3168,2,§,§,1.0,1.0,1.0,2569560,39979.58091197963,,2529580.4190880205
3169,2,§,§,1.0,1.0,1.0,2040,17509.204248297527,,15469.204248297527
3170,2,ª,§,0.0,0.0,0.0,960,17621.384875718137,,16661.384875718137
3171,2,§,§,1.0,1.0,1.0,420,17464.985403480005,,17044.985403480005
3173,2,§,§,1.0,1.0,1.0,60,17744.306318531184,,17684.306318531184
3174,2,§,§,1.0,1.0,1.0,3120,17456.23560682966,,14336.235606829661
3175,2,ª,§,0.0,0.0,0.0,1228740,24954.00204284023,,1203785.9979571598
3177,2,§,§,1.0,1.0,1.0,60,17456.23560682966,,17396.23560682966
3179,2,§,§,1.0,1.0,1.0,80280,14574.210048832114,,65705.78995116788
3180,2,§,§,1.0,1.0,1.0,5280,24771.6046115893,,19491.6046115893
3181,2,§,§,1.0,1.0,1.0,535740,39822.9897236511,,495917.0102763489
3182,2,ª,§,0.0,0.0,0.0,3060,16060.606897902762,,13000.606897902762
3183,2,ª,§,0.0,0.0,0.0,336900,16171.239653609906,,320728.7603463901
3185,2,£,§,0.0,0.0,0.0,18960,17459.164777260023,,1500.8352227399773
3187,2,©,©,1.0,1.0,1.0,250140,19062.943731285875,,231077.05626871414
3188,2,§,§,1.0,1.0,1.0,1383780,17456.23560682966,,1366323.7643931704
3189,2,§,§,1.0,1.0,1.0,429420,17456.23560682966,,411963.76439317036
3190,2,§,§,1.0,1.0,1.0,60,17572.344842660088,,17512.344842660088
3191,2,©,©,1.0,1.0,1.0,711240,9314.110605266329,,701925.8893947337
3193,2,§,§,1.0,1.0,1.0,20820,22597.71543379115,,1777.7154337911488
3194,2,©,©,1.0,1.0,1.0,13680,23875.863036830917,,10195.863036830917
3195,2,§,§,1.0,1.0,1.0,516120,17459.164777260023,,498660.83522273996
3196,2,©,©,1.0,1.0,1.0,100860,10761.82951882066,,90098.17048117935
3197,2,©,©,1.0,1.0,1.0,0,4924.7495010954935,,4924.7495010954935
3198,2,§,§,1.0,1.0,1.0,1319820,21513.436798558978,,1298306.563201441
3199,2,§,§,1.0,1.0,1.0,1095600,25097.756110328846,,1070502.243889671
3200,2,©,©,1.0,1.0,1.0,0,23765.882430119804,,23765.882430119804
3201,2,ª,§,0.0,0.0,0.0,120,39765.07574991696,,39645.07574991696
3202,2,§,§,1.0,1.0,1.0,97260,24572.79345440216,,72687.20654559784
3203,2,§,§,1.0,1.0,1.0,169980,38935.09279416544,,131044.90720583456
3204,2,§,§,1.0,1.0,1.0,248460,24445.916688642108,,224014.08331135788
3205,2,§,§,1.0,1.0,1.0,18720,22512.708205019553,,3792.708205019553
3206,2,§,§,1.0,1.0,1.0,278700,17456.23560682966,,261243.76439317034
3207,2,§,,0.0,0.0,0.0,0,0.0,,0.0
3208,2,§,§,1.0,1.0,1.0,95640,17456.23560682966,,78183.76439317034
3209,2,§,§,1.0,1.0,1.0,0,17459.164777260023,,17459.164777260023
3210,2,§,§,1.0,1.0,1.0,120,17459.164777260023,,17339.164777260023
3211,2,ª,§,0.0,0.0,0.0,60,8831.730135893633,,8771.730135893633
3213,2,§,§,1.0,1.0,1.0,431880,11706.764342365073,,420173.2356576349
3214,2,£,§,0.0,0.0,0.0,768900,39109.34386301778,,729790.6561369823
3215,2,§,§,1.0,1.0,1.0,2246820,32710.882203685247,,2214109.117796315
3216,2,§,§,1.0,1.0,1.0,148380,17456.23560682966,,130923.76439317034
3217,2,©,©,1.0,1.0,1.0,0,1432.9049169625964,,1432.9049169625964
3218,2,§,§,1.0,1.0,1.0,20700,17456.23560682966,,3243.7643931703387
3219,2,§,§,1.0,1.0,1.0,1288800,17459.164777260023,,1271340.83522274
3220,2,§,§,1.0,1.0,1.0,3204900,39898.85900926147,,3165001.1409907388
3221,2,§,§,1.0,1.0,1.0,13980,24782.65657276779,,10802.656572767792
3223,2,£,§,0.0,0.0,0.0,710340,39835.90070232912,,670504.0992976709
3224,2,©,©,1.0,1.0,1.0,10860,23889.578594511266,,13029.578594511266
3225,2,§,§,1.0,1.0,1.0,1543800,17456.23560682966,,1526343.7643931704
3227,2,§,§,1.0,1.0,1.0,1860,26064.068063674433,,24204.068063674433
3228,2,©,©,1.0,1.0,1.0,1901460,1129.9982084622463,,1900330.0017915377
3230,2,§,§,1.0,1.0,1.0,82680,17560.21172844721,,65119.78827155279
3232,2,§,§,1.0,1.0,1.0,1200,24220.048419614883,,23020.048419614883
3234,2,ª,§,0.0,0.0,0.0,2408160,36158.182654224285,,2372001.8173457757
3235,2,©,©,1.0,1.0,1.0,2340,23889.578594511266,,21549.578594511266
3236,2,§,§,1.0,1.0,1.0,11280,17456.23560682966,,6176.235606829661
3237,2,§,§,1.0,1.0,1.0,12000,17456.23560682966,,5456.235606829661
3238,2,ª,§,0.0,0.0,0.0,0,39757.31281969917,,39757.31281969917
3240,2,§,§,1.0,1.0,1.0,155100,23388.50659204635,,131711.49340795365
3241,2,§,§,1.0,1.0,1.0,188520,17456.23560682966,,171063.76439317034
3243,2,§,§,1.0,1.0,1.0,24720,23182.557939100254,,1537.4420608997461
3244,2,©,©,1.0,1.0,1.0,1037820,10761.82951882066,,1027058.1704811794
3245,2,§,§,1.0,1.0,1.0,368100,36037.59637625004,,332062.40362374997
3246,2,§,§,1.0,1.0,1.0,357780,39964.87534498001,,317815.12465501996
3247,2,§,§,1.0,1.0,1.0,0,17456.23560682966,,17456.23560682966
3248,2,§,§,1.0,1.0,1.0,240,24278.771686681448,,24038.771686681448
3249,2,¥,§,0.0,0.0,0.0,604440,36140.7616330918,,568299.2383669082
3250,2,ª,§,0.0,0.0,0.0,1102620,17456.23560682966,,1085163.7643931704
3252,2,ª,§,0.0,0.0,0.0,9840,39919.796920642424,,30079.796920642424
3255,2,§,§,1.0,1.0,1.0,533820,19826.154487060805,,513993.8455129392
3256,2,©,©,1.0,1.0,1.0,60,2238.488071602433,,2178.488071602433
3257,2,ª,§,0.0,0.0,0.0,10380,31526.00762151133,,21146.00762151133
3259,2,§,§,1.0,1.0,1.0,428460,17456.23560682966,,411003.76439317036
3260,2,§,§,1.0,1.0,1.0,1680,21929.95729082784,,20249.95729082784
3261,2,§,§,1.0,1.0,1.0,85020,23551.711985493646,,61468.288014506354
3263,2,§,§,1.0,1.0,1.0,617340,23978.26771508454,,593361.7322849154
3264,2,ª,§,0.0,0.0,0.0,1034040,17491.424938078064,,1016548.575061922
3265,2,§,§,1.0,1.0,1.0,331380,17848.642300679076,,313531.35769932094
3266,2,§,§,1.0,1.0,1.0,3120,17521.122074769544,,14401.122074769544
3267,2,§,§,1.0,1.0,1.0,353280,22848.72522519783,,330431.27477480215
3268,2,§,§,1.0,1.0,1.0,0,17473.774486214446,,17473.774486214446
3269,2,§,§,1.0,1.0,1.0,900,17456.23560682966,,16556.23560682966
3270,2,ª,§,0.0,0.0,0.0,720,17605.978444978206,,16885.978444978206
3271,2,¦,§,0.0,0.0,0.0,1830900,36462.344945972414,,1794437.6550540277
