CaseID,Prefix length,Ground truth,Predicted,Levenshtein,Damerau,Jaccard,Ground truth times,Predicted times,RMSE,MAE
3087,2,§,§,1.0,1.0,1.0,256500,150822.3807747852,,105677.61922521479
3088,2,©ª©§,©§,0.5,0.5,0.6666666666666666,1888380,50793.29026641455,,1837586.7097335854
3089,2,ª§,§,0.5,0.5,0.5,520740,105404.52434058265,,415335.47565941734
3090,2,§,§,1.0,1.0,1.0,1800,55862.70371771381,,54062.70371771381
3091,2,§§,§,0.5,0.5,1.0,511740,34157.201623093504,,477582.7983769065
3092,2,§,§,1.0,1.0,1.0,8280,33601.15206731216,,25321.152067312163
3093,2,§,§,1.0,1.0,1.0,63720,44908.94273340685,,18811.057266593147
3094,2,§,§,1.0,1.0,1.0,1200720,45710.539387053504,,1155009.4606129464
3095,2,§,§,1.0,1.0,1.0,360,42128.42294712975,,41768.42294712975
3096,2,§,§,1.0,1.0,1.0,2073600,65051.674838278916,,2008548.325161721
3098,2,§,§,1.0,1.0,1.0,1860,39820.35578479874,,37960.35578479874
3099,2,ª§,§,0.5,0.5,0.5,967500,65322.98103412079,,902177.0189658792
3100,2,ª©§,§,0.33333333333333337,0.33333333333333337,0.33333333333333326,3024660,37302.11759427457,,2987357.8824057253
3101,2,§,§,1.0,1.0,1.0,3060,70608.28975760801,,67548.28975760801
3102,2,ª§,§,0.5,0.5,0.5,14460,88115.43969236678,,73655.43969236678
3104,2,§,§,1.0,1.0,1.0,603300,33578.76586072852,,569721.2341392714
3105,2,ª§,§,0.5,0.5,0.5,795900,31958.034122652865,,763941.9658773472
3106,2,§§,§,0.5,0.5,1.0,1468080,44706.678052779884,,1423373.32194722
3107,2,§,§,1.0,1.0,1.0,101520,33568.72274415265,,67951.27725584735
3109,2,§,§,1.0,1.0,1.0,9480,42856.084975198464,,33376.084975198464
3110,2,ª§,§,0.5,0.5,0.5,1187760,35568.71133646827,,1152191.2886635317
3111,2,§,§,1.0,1.0,1.0,422940,36096.22127448677,,386843.77872551326
3114,2,©ª©§,§,0.25,0.25,0.33333333333333326,933480,47969.862828609424,,885510.1371713906
3115,2,ª§,§,0.5,0.5,0.5,3570300,61312.13564389015,,3508987.86435611
3116,2,§,§,1.0,1.0,1.0,0,39963.679490564864,,39963.679490564864
3117,2,§,§,1.0,1.0,1.0,240,50302.963735929276,,50062.963735929276
3119,2,¢©§,©§,0.6666666666666667,0.6666666666666667,0.6666666666666666,196200,76957.14729934622,,119242.85270065378
3120,2,§,§,1.0,1.0,1.0,0,50917.815240582146,,50917.815240582146
3122,2,ª§,§,0.5,0.5,0.5,498060,88640.927708932,,409419.07229106803
3123,2,§,§,1.0,1.0,1.0,19860,60324.58568492799,,40464.58568492799
3124,2,§,§,1.0,1.0,1.0,6360,33587.34920441659,,27227.34920441659
3125,2,§,§,1.0,1.0,1.0,191700,66820.73824004011,,124879.26175995989
3127,2,§,§,1.0,1.0,1.0,1443960,39765.39216215392,,1404194.607837846
3129,2,§,§,1.0,1.0,1.0,1821480,47660.42724404617,,1773819.5727559538
3130,2,©§,©§,1.0,1.0,1.0,3034980,71247.53427877722,,2963732.4657212226
3131,2,ª©§,§,0.33333333333333337,0.33333333333333337,0.33333333333333326,157020,32169.057440606604,,124850.9425593934
3132,2,§,§,1.0,1.0,1.0,60,33570.61168422485,,33510.61168422485
3133,2,§,§,1.0,1.0,1.0,250320,62366.20047182664,,187953.79952817335
3134,2,§,§,1.0,1.0,1.0,256140,45087.68179879862,,211052.3182012014
3135,2,£§,§,0.5,0.5,0.5,3718980,31902.239366376278,,3687077.7606336237
3136,2,§,§,1.0,1.0,1.0,326280,49550.56112637092,,276729.4388736291
3137,2,¢§,©§,0.5,0.5,0.33333333333333326,175200,138365.58564157324,,36834.41435842676
